"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\pages\tables\tbl-bootstrap\tbl-bootstrap.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-badge\basic-badge.component.html", "HTML", 70, 0, 0, 0, 0, 0, 0, 1, 71
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-badge\basic-badge.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-badge\basic-badge.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-button\basic-button.component.html", "HTML", 1376, 0, 0, 0, 0, 0, 4, 1, 1381
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-button\basic-button.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-button\basic-button.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-collapse\basic-collapse.component.html", "HTML", 203, 0, 0, 0, 0, 0, 6, 5, 214
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-collapse\basic-collapse.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-collapse\basic-collapse.component.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 3, 3, 22
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-tabs-pills\basic-tabs-pills.component.html", "HTML", 236, 0, 0, 0, 0, 0, 1, 1, 238
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-tabs-pills\basic-tabs-pills.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-tabs-pills\basic-tabs-pills.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-typography\basic-typography.component.html", "HTML", 222, 0, 0, 0, 0, 0, 0, 4, 226
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-typography\basic-typography.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\basic-typography\basic-typography.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\breadcrumb-paging\breadcrumb-paging.component.html", "HTML", 307, 0, 0, 0, 0, 0, 2, 1, 310
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\breadcrumb-paging\breadcrumb-paging.component.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\breadcrumb-paging\breadcrumb-paging.component.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\ui-basic-routing.module.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 3, 45
"c:\Users\aymen\Documents\PFE\PFE_Caisse_Enregistreuse\Front\src\app\demo\ui-elements\ui-basic\ui-basic.module.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 3, 11
